"N.","Session","Né.en","Q1","Q1.NSP","Q2","Q2.NSP","Q3","Q3.NSP","Q4","Q4.NSP","Q5","Q5.NSP","Q6","Q6.NSP","sexe","exp","origine","pedago","Q1i"
"S50","2013-février",1988,1,NA,0,NA,1,NA,1,NA,0,NA,0,NA,"H","XPM3","PRO","Active","Juste"
"S51","2013-février",1977,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"H","SXP",NA,"Passive","Juste"
"S52","2013-février",1990,0,NA,0,NA,0,NA,1,NA,1,NA,0,NA,"H","SXP",NA,"Passive","faux"
"S53","2013-février",1966,NA,1,NA,1,NA,1,0,NA,NA,1,NA,1,"H","SXP",NA,"Passive","NSP"
"S54","2013-février",1973,1,NA,NA,1,NA,1,0,NA,0,NA,NA,1,"F","SXP",NA,"Passive","Juste"
"S55","2013-février",1999,0,NA,1,NA,0,NA,1,NA,0,NA,0,NA,"F","XPM3","ASSOC","Passive","faux"
"S56","2013-février",1987,0,NA,1,NA,0,NA,0,NA,0,NA,0,NA,"H","SXP",NA,"Passive","faux"
"S57","2013-février",1985,1,NA,1,NA,0,NA,0,NA,0,NA,1,NA,"H","XPM3","ASSOC","Passive","Juste"
"S58","2013-février",1989,1,NA,NA,1,0,NA,1,NA,NA,1,0,NA,"H","SXP",NA,"Passive","Juste"
"S59","2013-février",1987,1,NA,NA,1,NA,1,0,NA,NA,1,1,NA,"H","SXP",NA,"Passive","Juste"
"S60","2013-février",1952,0,NA,1,NA,0,NA,0,NA,0,NA,0,NA,"H","SXP",NA,"Passive","faux"
"S61","2013-février",1991,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"F","SXP",NA,"Passive","faux"
"S62","2013-avril",1990,0,NA,0,NA,1,NA,0,NA,0,NA,1,NA,"H","XPM3","PRO","Active","faux"
"S63","2013-avril",1985,0,NA,0,NA,1,NA,0,NA,0,NA,0,NA,"H","XPM3","PRO","Active","faux"
"S64","2013-avril",1965,0,NA,1,NA,0,NA,0,NA,0,NA,0,NA,"F","SXP",NA,"Active","faux"
"S65","2013-avril",1990,0,NA,0,NA,0,NA,1,NA,1,NA,NA,1,"H","SXP",NA,"Active","faux"
"S66","2013-avril",1990,1,NA,1,NA,1,NA,0,NA,0,NA,0,NA,"F","XPM3","PRO","Active","Juste"
"S67","2013-avril",1976,0,NA,NA,1,0,NA,0,NA,0,NA,0,NA,"H","SXP",NA,"Active","faux"
"S68","2013-avril",1983,0,NA,1,NA,1,NA,0,NA,0,NA,0,NA,"F","XPM3","PRO","Active","faux"
"S69","2013-avril",1990,0,NA,0,NA,1,NA,0,NA,NA,1,0,NA,"F","XPP3","SPV","Active","faux"
"S70","2013-avril",1974,0,NA,1,NA,NA,1,0,NA,0,NA,1,NA,"H","SXP",NA,"Active","faux"
"S71","2013-avril",1964,0,NA,NA,1,1,NA,1,NA,1,NA,0,NA,"H","SXP",NA,"Active","faux"
"S72","2013-avril",1989,0,NA,0,NA,0,NA,1,NA,0,NA,0,NA,"H","XPM3","PRO","Active","faux"
"S73","2013-avril",1991,0,NA,0,NA,1,NA,1,NA,0,NA,0,NA,"H","SXP",NA,"Passive","faux"
"S74","2013-avril",1970,1,NA,NA,1,0,NA,0,NA,0,NA,NA,1,"F","XPM3","PRO","Passive","Juste"
"S75","2013-avril",1983,0,NA,NA,1,0,NA,0,NA,1,NA,0,NA,"H","SXP",NA,"Passive","faux"
"S76","2013-avril",1983,NA,1,NA,1,1,NA,0,NA,NA,1,0,NA,"H","SXP",NA,"Passive","NSP"
"S77","2013-avril",1982,0,NA,0,NA,0,NA,0,NA,NA,1,NA,1,"H","SXP",NA,"Passive","faux"
"S78","2013-avril",1958,1,NA,0,NA,0,NA,NA,1,NA,1,NA,1,"H","SXP",NA,"Passive","Juste"
"S79","2013-avril",1990,0,NA,NA,1,NA,1,NA,1,NA,1,NA,1,"H","SXP",NA,"Passive","faux"
"S80","2013-avril",1989,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"H","XPM3","PRO","Passive","Juste"
"S81","2013-avril",1985,0,NA,NA,1,1,NA,0,NA,0,NA,0,NA,"H","SXP",NA,"Passive","faux"
"S82","2013-avril",1983,0,NA,NA,1,0,NA,0,NA,NA,1,NA,1,"H","SXP",NA,"Passive","faux"
"S83","2013-juin ",1977,0,NA,NA,1,1,NA,0,NA,0,NA,0,NA,"H","XPM3","PRO","Passive","faux"
"S84","2013-juin ",1983,0,NA,NA,1,1,NA,0,NA,1,NA,0,NA,"H","SXP",NA,"Active","faux"
"S85","2013-juin ",1975,1,NA,0,NA,0,NA,1,NA,0,NA,0,NA,"H","SXP",NA,"Active","Juste"
"S86","2013-juin ",1978,0,NA,0,NA,0,NA,0,NA,1,NA,0,NA,"H","SXP",NA,"Passive","faux"
"S87","2013-juin ",1990,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"H","SXP",NA,"Active","faux"
"S88","2013-juin ",1987,0,NA,0,NA,0,NA,1,NA,NA,1,0,NA,"H","SXP",NA,"Active","faux"
"S89","2013-juin ",1977,1,NA,1,NA,0,NA,0,NA,NA,1,0,NA,"H","SXP",NA,"Active","Juste"
"S90","2013-juin ",1968,NA,1,NA,0,NA,1,NA,1,NA,1,NA,1,"H","SXP",NA,"Passive","NSP"
"S91","2013-juin ",1972,1,NA,1,NA,0,0,NA,0,NA,0,NA,0,"H","SXP",NA,"Passive","Juste"
"S92","2013-juin ",1986,1,NA,NA,1,0,NA,0,NA,1,NA,NA,1,"H","SXP",NA,"Passive","Juste"
"S93","2013-juin ",1982,1,NA,NA,1,1,NA,1,NA,0,NA,0,NA,"H","SXP",NA,"Active","Juste"
"S94","2013-juin ",1989,NA,1,NA,1,NA,1,NA,1,NA,1,NA,1,"H","SXP",NA,"Passive","NSP"
"S95","2013-juin ",1987,1,NA,0,NA,0,NA,NA,1,NA,1,NA,0,"H","SXP",NA,"Passive","Juste"
"S96","2013-juin ",1960,0,NA,NA,1,0,NA,0,NA,1,NA,0,NA,"F","SXP",NA,"Active","faux"
"S97","2013-juin ",1970,0,NA,0,NA,1,NA,0,NA,1,NA,1,NA,"F","SXP",NA,"Active","faux"
"S98","2013-juin ",1979,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"F","SXP",NA,"Passive","faux"
"S99","2013-juin ",1992,0,NA,1,NA,1,NA,0,NA,0,NA,NA,1,"F","SXP",NA,"Passive","faux"
"S100","2013-juin ",1975,1,NA,0,NA,0,NA,1,NA,0,NA,NA,1,"H","SXP",NA,"Active","Juste"
"S101","2013-juin ",1979,1,NA,NA,1,0,NA,NA,1,0,NA,NA,1,"H","XPP3","PRO","Passive","Juste"
"S102","2013-juin ",1985,0,NA,NA,1,1,NA,1,NA,NA,1,NA,0,"H","SXP",NA,"Passive","faux"
