QUESTIONNAIRE INITIAL,,,,,,,,,,,,
,,,,,,,Questionnaire Initial,,,,,
N,Session ,SEXE,Naissance,Experience ,Domaine,Pedagogie,Q1,Q2,Q3,Q4,Q5,Q6
S55,2013-février,Femme,1999,XPM3,ASSOC,Passive,FAUX,JUSTE,FAUX,JUSTE,FAUX,FAUX
S56,2013-février,Homme,1987,SXP,,Passive,FAUX,JUSTE,FAUX,FAUX,FAUX,FAUX
S57,2013-février,Homme,1985,XPM3,ASSOC,Passive,JUSTE,JUSTE,FAUX,FAUX,FAUX,JUSTE
S58,2013-février,Homme,1989,SXP,,Passive,JUSTE,NSP,FAUX,JUSTE,NSP,FAUX
S59,2013-février,Homme,1987,SXP,,Passive,JUSTE,NSP,NSP,FAUX,NSP,JUSTE
S60,2013-février,Homme,1952,SXP,,Passive,FAUX,JUSTE,FAUX,FAUX,FAUX,FAUX
S61,2013-février,Femme,1991,SXP,,Passive,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX
S62,2013-avril,Homme,1990,XPM3,Pro,Active,FAUX,FAUX,JUSTE,FAUX,FAUX,JUSTE
S63,2013-avril,Homme,1985,XPM3,Pro,Active,FAUX,FAUX,JUSTE,FAUX,FAUX,FAUX
S64,2013-avril,Femme,1965,SXP,,Active,FAUX,JUSTE,FAUX,FAUX,FAUX,FAUX
S65,2013-avril,Homme,1990,SXP,,Active,FAUX,FAUX,FAUX,JUSTE,JUSTE,NSP
S66,2013-avril,Femme,1990,XPM3,Pro,Active,JUSTE,JUSTE,JUSTE,FAUX,FAUX,FAUX
S67,2013-avril,Homme,1976,SXP,,Active,FAUX,NSP,FAUX,FAUX,FAUX,FAUX
S68,2013-avril,Femme,1983,XPM3,Pro,Active,FAUX,JUSTE,JUSTE,FAUX,FAUX,FAUX
S69,2013-avril,Femme,1990,XPP3,SPV,Active,FAUX,FAUX,JUSTE,FAUX,NSP,FAUX
S70,2013-avril,Homme,1974,SXP,,Active,FAUX,JUSTE,NSP,FAUX,FAUX,JUSTE
S71,2013-avril,Homme,1964,SXP,,Active,FAUX,NSP,JUSTE,JUSTE,JUSTE,FAUX
S72,2013-avril,Homme,1989,XPM3,Pro,Active,FAUX,FAUX,FAUX,JUSTE,FAUX,FAUX
S73,2013-avril,Homme,1991,SXP,,Passive,FAUX,FAUX,JUSTE,JUSTE,FAUX,FAUX
S74,2013-avril,Femme,1970,XPM3,Pro,Passive,JUSTE,NSP,FAUX,FAUX,FAUX,NSP
S75,2013-avril,Homme,1983,SXP,,Passive,FAUX,NSP,FAUX,FAUX,JUSTE,FAUX
S76,2013-avril,Homme,1983,SXP,,Passive,NSP,NSP,JUSTE,FAUX,NSP,FAUX
S77,2013-avril,Homme,1982,SXP,,Passive,FAUX,FAUX,FAUX,FAUX,NSP,NSP
S78,2013-avril,Homme,1958,SXP,,Passive,JUSTE,FAUX,FAUX,NSP,NSP,NSP
S79,2013-avril,Homme,1990,SXP,,Passive,FAUX,NSP,NSP,NSP,NSP,NSP
S80,2013-avril,Homme,1989,XPM3,Pro,Passive,JUSTE,FAUX,FAUX,FAUX,FAUX,FAUX
S81,2013-avril,Homme,1985,SXP,,Passive,FAUX,NSP,JUSTE,FAUX,FAUX,FAUX
S82,2013-avril,Homme,1983,SXP,,Passive,FAUX,NSP,FAUX,FAUX,NSP,NSP
S83,2013-juin ,Homme,1977,XPM3,Pro,Passive,FAUX,NSP,JUSTE,FAUX,FAUX,FAUX
S84,2013-juin ,Homme,1983,SXP,,Active,FAUX,NSP,JUSTE,FAUX,JUSTE,FAUX
S85,2013-juin ,Homme,1975,SXP,,Active,JUSTE,FAUX,FAUX,JUSTE,FAUX,FAUX
S86,2013-juin ,Homme,1978,SXP,,Passive,FAUX,FAUX,FAUX,FAUX,JUSTE,FAUX
S87,2013-juin ,Homme,1990,SXP,,Active,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX
S88,2013-juin ,Homme,1987,SXP,,Active,FAUX,FAUX,FAUX,JUSTE,NSP,FAUX
S89,2013-juin ,Homme,1977,SXP,,Active,JUSTE,JUSTE,FAUX,FAUX,NSP,FAUX
S90,2013-juin ,Homme,1968,SXP,,Passive,NSP,NSP,NSP,NSP,NSP,NSP
S91,2013-juin ,Homme,1972,SXP,,Passive,JUSTE,JUSTE,FAUX,NSP,NSP,NSP
